genre_espece;Famille;CO_Ec;CO_Bo_Ti;CO_Gr_Fr;CO_Fe_Fle;CO_Exs;CO_OrSt;BC_Ec;BC_Bo_Ti;BC_Gr_Fr;BC_Fe_Fle;BC_Exs;BC_OrSt;AL_Ec;AL_Bo_Ti;AL_Gr_Fr;AL_Fe_Fle;AL_Exs;AL_OrSt;MM_Ec;MM_Bo_Ti;MM_Gr_Fr;MM_Fe_Fle;MM_Exs;MM_OrSt;ART_Ec;ART_Bo_Ti;ART_Gr_Fr;ART_Fe_Fle;ART_Exs;ART_OrSt;Construction;Feu;Alimentation;Méd/Mag;Artisanat;Ecorces;Bois_Tiges;Graines_Fruits;Feuilles_Fleurs;Exsudats;Org St
Abarema jupunba;Fabaceae;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;3;0;0;0;0
Agonandra silvatica;Opiliaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aiouea longipetiolata;Lauraceae;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0
Albizia pedicellaris;Fabaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchornea triplinervia;Euphorbiaceae;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Alexa wachenheimii;Fabaceae;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0
Amaioua guianensis;Rubiaceae;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;1;0;0;0
Ambelania acida;Apocynaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;1;2;0;1;0
Amphirrhox longifolia;Violaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anacardium spruceanum;Anacardiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
Andira coriacea;Fabaceae;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0
Andira surinamensis;Fabaceae;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;2;0;0;1;0
Aniba citrifolia;Lauraceae;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0
Aniba guianensis;Lauraceae;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0
Aniba panurensis;Lauraceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aniba taubertiana;Lauraceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Annona exsucca;Annonaceae;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;2;1;1;0;0;0
Aparisthmium cordatum;Euphorbiaceae;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Apeiba glabra;Malvaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;2;1;1;0;1;0;0
Apeiba petoumo;Malvaceae;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;2;2;2;2;0;1;0;0
